Date,CompanyName,Open,High,Low,Close,Volume
20160308,cien,16.950,16.970,16.555,16.630,4858121.000
20160308,cinf,63.384,63.861,63.285,63.573,828019.327
20160308,cl,67.210,67.930,66.860,67.530,1975574.000
20160308,clf,3.340,3.380,2.630,2.720,9720650.000
20160308,clx,123.350,126.860,122.760,125.470,1256974.000
20160308,cma,37.383,37.632,36.200,36.389,2675221.256
20160308,cmcsa,58.880,59.000,58.050,58.300,8966010.000
20160308,cme,92.120,94.230,92.070,93.290,1341074.000
20160308,cmg,535.840,542.500,523.420,524.370,1018522.000
20160308,cmi,104.000,104.130,99.300,101.830,2788522.000
20160308,cms,40.530,41.130,40.390,40.880,3342444.000
20160308,cnc,58.180,58.380,57.230,57.270,968456.000
20160308,cnp,19.680,19.900,19.510,19.850,3408990.000
20160308,cnx,11.400,11.430,10.360,10.470,6519701.000
20160308,cof,68.930,69.180,68.000,68.490,2400703.000
20160308,cog,22.020,22.060,21.250,21.360,8032845.000
20160308,coh,38.870,39.250,38.400,38.460,2296228.000
20160308,col,88.260,88.770,87.860,87.930,442195.000
20160308,cop,41.200,41.300,38.560,38.610,13049778.000
20160308,cost,147.660,151.930,147.100,150.950,2838971.000
20160308,cpb,61.880,62.910,61.560,62.520,1364803.000
20160308,cpgx,19.500,19.700,18.900,18.920,1262563.000
20160308,cr,53.370,53.540,51.570,51.780,369479.000
20160308,crm,69.790,70.900,69.170,69.810,3817832.000
20160308,csc,30.530,30.700,29.760,30.010,1622522.000
20160308,csco,26.970,27.300,26.690,27.050,21839159.000
20160308,csra,25.960,26.120,25.490,25.510,954908.000
20160308,csx,25.260,25.340,24.670,24.700,7380859.000
20160308,ctas,87.430,88.330,86.790,87.650,381489.000
20160308,ctb,38.310,38.800,38.200,38.460,502982.000
20160308,ctl,31.990,31.990,30.960,31.510,5124546.000
20160308,ctsh,56.410,56.595,55.780,55.930,3254501.000
20160308,ctxs,74.410,75.150,73.930,73.960,1543553.000
